No,Indonesia,Aceh,,Kamus
1,aku kalau ada umur kupulang ke kampung selesai pekerjaan ini,lon meunyo na umu lonwoe u gampong lheueh buet nyoe,12250,Bukhari Daud
2,Aku alergi debu rumah.,lon alergi abee rumoh.,,
3,Aku bangun pagi biar tidak telat.,lon beudoh beungoh bah hana telat.,,
4,Aku baru saja selesai mandi.,lon baro ban lheueh manoe.,,
5,Aku basah_kuyup kalau hujan turun di proyek.,lon bulut meunyo ujeuen tren bak proyek.,,
6,Aku batuk kering beberapa hari ini.,lon batok tho meupadum uroe nyoe.,,
7,Aku batuk kering dua hari ini.,lon batok tho duwa uroe nyoe.,,
8,Aku belajar matematika di ruang_tamu.,lon meurunoe matematika bak seuramoe.,,
9,Aku belajar membuat keramik di studio seni.,lon meurunoe peugot keramik bak studiyo seni.,,
10,Aku biasa bangun jam lima pagi.,lon biyasa beudoh jeuem limong beungoh.,,
11,Aku capek tapi bahagia kalau kerja beres.,lon hek tapi bahgiya meunyo keureuja bereh.,,
12,Aku cuma mau tidur lebih awal.,lon cuma neuk eh leubeh awai.,,
13,Aku cuma mau tidur siang sebentar.,lon cuma neuk eh cot_uroe siat.,,
14,Aku cuma mau tidur siang.,lon cuma neuk eh cot_uroe.,,
15,Aku cuma rebahan sambil denger musik.,lon cuma rebahan sira deungo musik.,,
16,Aku ingin belajar akuntansi lebih mendalam.,lon neuk meurunoe akuntansi leubeh mendalam.,,
17,Aku ingin belajar analisis data.,lon neuk meurunoe analisis data.,,
18,Aku ingin belajar bahasa asing lain.,lon neuk meurunoe basa aseng laen.,,
19,Aku ingin belajar bahasa asing lebih mendalam.,lon neuk meurunoe basa aseng leubeh mendalam.,,
20,Aku ingin belajar bahasa asing lebih serius.,lon neuk meurunoe basa aseng leubeh serius.,,
21,Aku ingin belajar bela diri tradisional.,lon neuk meurunoe bela droe tradisional.,,
22,Aku ingin belajar bermain piano.,lon neuk meurunoe meuen piyano.,,
23,Aku ingin belajar cara membuat kerajinan tangan.,lon neuk meurunoe cara peugot kerajinan jaroe.,,
24,Aku ingin belajar cara membuat keramik.,lon neuk meurunoe cara peugot keramik.,,
25,Aku ingin belajar cara membuat laporan keuangan.,lon neuk meurunoe cara peugot laporan keuangan.,,
26,Aku ingin belajar cara membuat lilin aromaterapi.,lon neuk meurunoe cara peugot lilen aromaterapi.,,
27,Aku ingin belajar cara membuat proposal pendanaan.,lon neuk meurunoe cara peugot proposal pendanaan.,,
28,Aku ingin belajar cara membuat video kreatif.,lon neuk meurunoe cara peugot vidio kreatif.,,
29,Aku ingin belajar cara menanam sayuran organik.,lon neuk meurunoe cara pula gule organik.,,
30,Aku ingin belajar cara menulis cerita anak.,lon neuk meurunoe cara tuleh calitra aneuk.,,
31,Aku ingin belajar cara merangkai bunga segar.,lon neuk meurunoe cara rangkai bungong segar.,,
32,Aku ingin belajar cara negosiasi yang efektif.,lon neuk meurunoe cara negosiasi nyang efektif.,,
33,Aku ingin belajar desain grafis.,lon neuk meurunoe desain grafis.,,
34,Aku ingin belajar fotografi lebih serius.,lon neuk meurunoe fotografi leubeh serius.,,
35,Aku ingin belajar kaligrafi.,lon neuk meurunoe kaligrafi.,,
36,Aku ingin belajar kerajinan kulit.,lon neuk meurunoe kerajinan kulet.,,
37,Aku ingin belajar manajemen proyek.,lon neuk meurunoe manajemen proyek.,,
38,Aku ingin belajar masak makanan sehat.,lon neuk meurunoe maguen makanan sihat.,,
39,Aku ingin belajar memainkan alat musik ukulele.,lon neuk meurunoe meuen alat musik ukulele.,,
40,Aku ingin belajar membuat aneka kue kering.,lon neuk meurunoe peugot aneka kuweh tho.,,
41,Aku ingin belajar membuat es krim.,lon neuk meurunoe peugot eh krem.,,
42,Aku ingin belajar membuat kerajinan bambu.,lon neuk meurunoe peugot kerajinan trieng.,,
43,Aku ingin belajar membuat kerajinan dari bambu.,lon neuk meurunoe peugot kerajinan dari trieng.,,
44,Aku ingin belajar membuat kerajinan dari kain flanel.,lon neuk meurunoe peugot kerajinan dari ija flanel.,,
45,Aku ingin belajar membuat kerajinan dari kayu.,lon neuk meurunoe peugot kerajinan dari kayee.,,
46,Aku ingin belajar membuat kerajinan rajut.,lon neuk meurunoe peugot kerajinan rajut.,,
47,Aku ingin belajar membuat kerajinan tangan unik.,lon neuk meurunoe peugot kerajinan jaroe unik.,,
48,Aku ingin belajar membuat kerajinan tangan.,lon neuk meurunoe peugot kerajinan jaroe.,,
49,Aku ingin belajar membuat kue cubit.,lon neuk meurunoe peugot kuweh cutiet.,,
50,Aku ingin belajar membuat kue kering.,lon neuk meurunoe peugot kuweh tho.,,
51,Aku ingin belajar membuat kue nastar.,lon neuk meurunoe peugot kuweh nastar.,,
52,Aku ingin belajar membuat kue tradisional.,lon neuk meurunoe peugot kuweh tradisional.,,
53,Aku ingin belajar membuat lukisan cat minyak.,lon neuk meurunoe peugot lukisan cat minyeuk.,,
54,Aku ingin belajar membuat pastel isi ayam.,lon neuk meurunoe peugot pastel asoe manok.,,
55,Aku ingin belajar membuat pastel.,lon neuk meurunoe peugot pastel.,,
56,Aku ingin belajar membuat patung.,lon neuk meurunoe peugot patong.,,
57,Aku ingin belajar membuat pempek.,lon neuk meurunoe peugot pempek.,,
58,Aku ingin belajar membuat pola baju sederhana.,lon neuk meurunoe peugot pola bajee sederhana.,,
59,Aku ingin belajar membuat pola jahitan.,lon neuk meurunoe peugot pola jahitan.,,
60,Aku ingin belajar membuat pudding coklat.,lon neuk meurunoe peugot puding coklat.,,
61,Aku ingin belajar membuat rendang sendiri.,lon neuk meurunoe peugot rendang sidroe.,,
62,Aku ingin belajar membuat roti gandum.,lon neuk meurunoe peugot ruti gandom.,,
63,Aku ingin belajar membuat sabun alami sendiri.,lon neuk meurunoe peugot sabon alami sidroe.,,
64,Aku ingin belajar membuat scrapbook perjalanan.,lon neuk meurunoe peugot scrapbook perjalanan.,,
65,Aku ingin belajar membuat siomay.,lon neuk meurunoe peugot siomay.,,
66,Aku ingin belajar membuat soto betawi.,lon neuk meurunoe peugot soto betawi.,,
67,Aku ingin belajar membuat tas kain.,lon neuk meurunoe peugot tah ija.,,
68,Aku ingin belajar membuat video edukasi.,lon neuk meurunoe peugot vidio edukasi.,,
69,Aku ingin belajar memelihara ikan hias.,lon neuk meurunoe peulara eungkot hias.,,
70,Aku ingin belajar memotret dengan kamera profesional.,lon neuk meurunoe potret ngon kamera profesional.,,
71,Aku ingin belajar memotret pemandangan alam.,lon neuk meurunoe potret pemandangan alam.,,
72,Aku ingin belajar memotret pemandangan.,lon neuk meurunoe potret pemandangan.,,
73,Aku ingin belajar menjahit pakaian sederhana.,lon neuk meurunoe cop pakayan sederhana.,,
74,Aku ingin belajar menjahit pakaian.,lon neuk meurunoe cop pakayan.,,
75,Aku ingin belajar menulis cerita pendek.,lon neuk meurunoe tuleh calitra et.,,
76,Aku ingin belajar menulis esai lebih baik.,lon neuk meurunoe tuleh esai leubeh got.,,
77,Aku ingin belajar menulis puisi.,lon neuk meurunoe tuleh puisi.,,
78,Aku ingin belajar menyanyi dengan teknik yang benar.,lon neuk meurunoe meulagu ngon teknik nyang beutoi.,,
79,Aku ingin belajar merajut syal.,lon neuk meurunoe rajut syal.,,
80,Aku ingin belajar pemrograman komputer.,lon neuk meurunoe pemrograman komputer.,,
81,Aku ingin belajar presentasi yang lebih menarik.,lon neuk meurunoe presentasi nyang leubeh menarik.,,
82,Aku ingin belajar resep masakan nenek.,lon neuk meurunoe resep masakan nek.,,
83,Aku ingin belajar software akuntansi.,lon neuk meurunoe software akuntansi.,,
84,Aku ingin belajar statistik lebih dalam.,lon neuk meurunoe statistik leubeh dalam.,,
85,Aku ingin belajar teknik fotografi lebih dalam.,lon neuk meurunoe teknik fotografi leubeh dalam.,,
86,Aku ingin belajar teknik fotografi profesional.,lon neuk meurunoe teknik fotografi profesional.,,
87,Aku ingin belajar teknik melukis cat air.,lon neuk meurunoe teknik lukeh cat ie.,,
88,Aku ingin belajar teknik melukis modern.,lon neuk meurunoe teknik lukeh modern.,,
89,Aku ingin belajar teknik menulis ilmiah.,lon neuk meurunoe teknik tuleh ilmiah.,,
90,Aku ingin belajar teknik relaksasi baru.,lon neuk meurunoe teknik relaksasi baro.,,
91,Aku ingin berhenti makan junk food.,lon neuk piyoh pajoh junk food.,,
92,Aku ingin berkumpul lebih sering dengan saudara.,lon neuk meusapat leubeh kayem ngon syedara.,,
93,Aku ingin berlibur ke pegunungan.,lon neuk meulibur u pegunungan.,,
94,Aku ingin bersepeda keliling kompleks sore nanti.,lon neuk meusitangen keulileng komplek seupot eunteuk.,,
95,Aku ingin ginjal bekerja optimal.,lon neuk ginjal meukeureuja optimal.,,
96,Aku ingin ginjal sehat selamanya.,lon neuk ginjal sihat sabee.,,
97,Aku ingin hati bekerja optimal.,lon neuk ate meukeureuja optimal.,,
98,Aku ingin istirahat lebih lama.,lon neuk piyohhek leubeh trep.,,
99,Aku ingin lebih banyak makan serat.,lon neuk leubeh le pajoh serat.,,
100,Aku ingin lebih dekat dengan sepupu-sepupuku.,lon neuk leubeh toe ngon keumuen-keumuenlon.,,
101,Aku ingin lebih disiplin makan sehat.,lon neuk leubeh disiplin pajoh sihat.,,
102,Aku ingin lebih disiplin tidur cukup.,lon neuk leubeh disiplin eh sep.,,
103,Aku ingin lebih rajin membaca setiap hari.,lon neuk leubeh jeumot baca tiep uroe.,,
104,Aku ingin lebih rajin minum vitamin.,lon neuk leubeh jeumot jep vitamin.,,
105,Aku ingin lebih rajin olahraga pagi.,lon neuk leubeh jeumot olahraga beungoh.,,
106,Aku ingin liburan bareng keluarga besar.,lon neuk liburan sajan keluarga rayek.,,
107,Aku ingin liburan ke air panas alami.,lon neuk liburan u ie seuuem alami.,,
108,Aku ingin liburan ke luar negeri.,lon neuk liburan u luwa nanggroe.,,
109,Aku ingin liburan ke pantai akhir pekan ini.,lon neuk liburan u pante akhe peukan nyoe.,,
